"Created At","Part","Fabricated","Supplier","Alt Parts","Part Description","Order Detail ID","Order Item ID","Cycle No","Cycle","Second Reference No","External Order Reference No","Source Warehouse","Destination Group","Destination","Inventory Location","Order Detail Status","Pick Location","Pick Zone","Carrier","Picked LPN","Stage Location","Pick Stage Location","Parent Container","Source Container","Parent Serial/VIN","To Location","Total Ordered Quantity","Order Item Quantity","Picked Quantity","Shipment #","LP Shipment No","Ship Sequence","Trailer No","Unit","Pick Unit","Detail Reference No","Deliver To","Deliver To Storage Area","Deliver To Zone","Order System","Receiving Dock","Customer Pickup","Is Hot Call","Is Flagged","HotCall Created At","HotCall Updated At","HotCall Created By","Flagged Created At","Created By","Pick Started At","Pick Completed At","Picked By","Customer Order #","Stage Started At","Stage Completed At","Staged By","Load Started At","Loaded At","Loaded By","Closed At","Closed By","Pallet Closed At","Unload Started At","Unloaded At","Unloaded By","Drop Started At","Dropped At","Dropped By","Canceled At","Canceled By","Sorted At","Sorted By","Updated At","Updated By","Updated By Process","Comment","Cost Center","Is Issue To Cost Center","Internal Project Name","Pallet Sequence","Reason","Order Item Status","Header Reference No","Order Header ID","Order Header Status","Crew Name","Crew Email","Slot","Sequence","Process Sequence","Process Name","Exception Status","Exception Type","Trailer Pick Item","Release Time","Expected Release Time","Ship By Date","Pull Ahead Date","Expected At Destination","Pick By","Shipped At","Allocated At","Task Created At","Task Assigned At","At Outfeed At","Dolly","Warp Source Type","Expected LP","Option Code","Batch No","FO Shipment ID","Part Group","Destination Entity Group","Ship To","Pack Completed At","Packed By","Pick Type","MHE Pick Type","Ship Mode","Request Type","Vehicle Off Road","Will Call","Hazardous","Original Part","Order No","Pack Slip","Released At","Released By","Customer Line Number","Generated By","Buyer PO Number","FO Shipment Number","Cage Container","Is Milk Run","Batch ID","Is Single Line","Bulk Pick","Payment Status","Pick Flow","Pick Assigned To","Header Second Reference No","Pack Type","Cross Dock","Final Destination","Linked FO Number","Linked FO Line Number","Linked FO Shipment Number","Bin Name","Is Shipment Created","Replen Order ID","FO Order ID (allocated by replen)","Service Level","Service Level Group","Cut-Off At","Address Country Code","Identity Number","Identity Type"
"01/30/2026  4:32:18 PM","1634443-01-A","false","EXTERNALWH",,"BOM MODULE, MY, MUD FLAP PACKAGE","13228838	",,,,"88604377	",,"3694	","4081S3694-ECOM","4081S3694-ECOM",,"New",,,,,,,,,"",,"1",,,,,"0",,"EA","EA","88604377	","Garrett  Lima",,,"FO","","false","false","false",,,,,"equipment-warp",,,,"COM-CBANNG9TYQ-1",,,,,,,,,,,,,,,,,,,,"01/30/2026  4:32:18 PM","equipment-warp",,,,"false","",,,,"FO-2026811600_20260130213137","7006574","New",,,"0",,,"Box-Pick",,,,,,"01/31/2026","","01/31/2026  7:00:00 PM","01/31/2026  4:32:18 PM",,,,,,,,,,,,"NB-VNA-RACK-MED","NB-RDC-ECOM",,,,,,"Ground","AccessoriesDirect","false","false","false","1634443-01-A","",,,,"88604377	","erpapp","",,,"false",,"false","true","NEW",,,"COM-CBANNG9TYQ-1",,"false",,,,,,"false","false","false",,,,"US",,
"01/30/2026  4:32:18 PM","1977818-00-C","false","EXTERNALWH",,"TRAY, CONSOLE, BUNDLE, M3/MY","13228837	",,,,"88604370	",,"3694	","4081S3694-ECOM","4081S3694-ECOM",,"New",,,,,,,,,"",,"1",,,,,"0",,"EA","EA","88604370	","Guy  Goodrich",,,"FO","","false","false","false",,,,,"equipment-warp",,,,"COM-B9FH6E4TNU-1",,,,,,,,,,,,,,,,,,,,"01/30/2026  4:32:18 PM","equipment-warp",,,,"false","",,,,"FO-2106965136_20260130213137","7006573","New",,,"0",,,"Box-Pick",,,,,,"01/31/2026","","01/31/2026  7:00:00 PM","01/31/2026  4:32:18 PM",,,,,,,,,,,,"NB-ECOM","NB-RDC-ECOM",,,,,,"Ground","AccessoriesDirect","false","false","false","1977818-00-C","",,,,"88604370	","erpapp","",,,"false",,"false","true","NEW",,,"COM-B9FH6E4TNU-1",,"false",,,,,,"false","false","false",,,,"US",,
"01/30/2026  4:32:18 PM","2097851-00-A","false","EXTERNALWH",,"Tesla Projection Lights, FR, M3","13228834	",,,,"88604375	",,"3694	","4081S3694-ECOM","4081S3694-ECOM",,"New",,,,,,,,,"",,"1",,,,,"0",,"EA","EA","88604375	","Jamal  Gatson",,,"FO","","false","false","false",,,,,"equipment-warp",,,,"COM-J395MLJDYM-1",,,,,,,,,,,,,,,,,,,,"01/30/2026  4:32:18 PM","equipment-warp",,,,"false","",,,,"FO-971216511_20260130213137","7006570","New",,,"0",,,"Box-Pick",,,,,,"01/31/2026","","01/31/2026  7:00:00 PM","01/31/2026  4:32:18 PM",,,,,,,,,,,,"NB-ECOM","NB-RDC-ECOM",,,,,,"Ground","AccessoriesDirect","false","false","false","2097851-00-A","",,,,"88604375	","erpapp","",,,"false",,"false","true","NEW",,,"COM-J395MLJDYM-1",,"false",,,,,,"false","false","false",,,,"US",,
"01/30/2026  4:32:18 PM","1131087-01-K","false","EXTERNALWH",,"KEYCARD, SLEEVE ASY, NFC, M3, NXP P71","13228832	",,,,"88604354	",,"3694	","4081S3694-ECOM","4081S3694-ECOM",,"New",,,,,,,,,"",,"2",,,,,"0",,"EA","EA","88604354	","Alex  amirkhanian",,,"FO","","false","false","false",,,,,"equipment-warp",,,,"COM-SCWECKRPSX-1",,,,,,,,,,,,,,,,,,,,"01/30/2026  4:32:18 PM","equipment-warp",,,,"false","",,,,"FO-146584055_20260130213137","7006569","New",,,"0",,,"Box-Pick",,,,,,"01/31/2026","","01/31/2026  7:00:00 PM","01/31/2026  4:32:18 PM",,,,,,,,,,,,"NB-ECOM","NB-RDC-ECOM",,,,,,"Ground","AccessoriesDirect","false","false","false","1131087-01-J","",,,,"88604354	","erpapp","",,,"false",,"false","true","NEW",,,"COM-SCWECKRPSX-1",,"false",,,,,,"false","false","false",,,,"US",,
"01/30/2026  4:32:18 PM","1131087-01-K","false","EXTERNALWH",,"KEYCARD, SLEEVE ASY, NFC, M3, NXP P71","13228830	",,,,"88604376	",,"3694	","4081S3694-ECOM","4081S3694-ECOM",,"New",,,,,,,,,"",,"1",,,,,"0",,"EA","EA","88604376	","David  Alley",,,"FO","","false","false","false",,,,,"equipment-warp",,,,"COM-G56V6T5PYQ-1",,,,,,,,,,,,,,,,,,,,"01/30/2026  4:32:18 PM","equipment-warp",,,,"false","",,,,"FO-991882625_20260130213137","7006566","New",,,"0",,,"Box-Pick",,,,,,"01/31/2026","","01/31/2026  7:00:00 PM","01/31/2026  4:32:18 PM",,,,,,,,,,,,"NB-ECOM","NB-RDC-ECOM",,,,,,"Ground","AccessoriesDirect","false","false","false","1131087-01-J","",,,,"88604376	","erpapp","",,,"false",,"false","true","NEW",,,"COM-G56V6T5PYQ-1",,"false",,,,,,"false","false","false",,,,"US",,
"01/30/2026  4:32:18 PM","1517085-42-F","false","EXTERNALWH",,"WC, NA, PACKAGED, 24FT","13228828	",,,,"88604372	",,"3694	","4081S3694-ECOM","4081S3694-ECOM",,"New",,,,,,,,,"",,"1",,,,,"0",,"EA","EA","88604372	","Wesley  Foster",,,"FO","","false","false","false",,,,,"equipment-warp",,,,"COM-YUQXB834LT-1",,,,,,,,,,,,,,,,,,,,"01/30/2026  4:32:18 PM","equipment-warp",,,,"false","",,,,"FO-1879924409_20260130213137","7006564","New",,,"0",,,"Box-Pick",,,,,,"01/31/2026","","01/31/2026  7:00:00 PM","01/31/2026  4:32:18 PM",,,,,,,,,,,,"BULK-PICK-3694","NB-RDC-ECOM",,,,,,"Ground","AccessoriesDirect","false","false","false","1517085-02-E","",,,,"88604372	","erpapp","",,,"false",,"false","true","NEW",,,"COM-YUQXB834LT-1",,"false",,,,,,"false","false","false",,,,"US",,
"01/30/2026  4:32:18 PM","1977818-00-A","false","EXTERNALWH",,"TRAY, CONSOLE, BUNDLE, M3","13228827	",,,,"88604371	",,"3694	","4081S3694-ECOM","4081S3694-ECOM",,"New",,,,,,,,,"",,"1",,,,,"0",,"EA","EA","88604371	","Wesley  Foster",,,"FO","","false","false","false",,,,,"equipment-warp",,,,"COM-YUQXB834LT-1",,,,,,,,,,,,,,,,,,,,"01/30/2026  4:32:18 PM","equipment-warp",,,,"false","",,,,"FO-1879924409_20260130213137","7006564","New",,,"0",,,"Box-Pick",,,,,,"01/31/2026","","01/31/2026  7:00:00 PM","01/31/2026  4:32:18 PM",,,,,,,,,,,,"NB-ECOM","NB-RDC-ECOM",,,,,,"Ground","AccessoriesDirect","false","false","false","1977818-00-A","",,,,"88604371	","erpapp","",,,"false",,"false","true","NEW",,,"COM-YUQXB834LT-1",,"false",,,,,,"false","false","false",,,,"US",,
"01/30/2026  4:32:17 PM","2025108-01-A","false","EXTERNALWH",,"Tesla Projection Lights, FR","13228822	",,,,"88604368	",,"3694	","4081S3694-ECOM","4081S3694-ECOM",,"New",,,,,,,,,"",,"1",,,,,"0",,"EA","EA","88604368	","CHAO  LIU",,,"FO","","false","false","false",,,,,"equipment-warp",,,,"COM-PWG8XV5A9S-1",,,,,,,,,,,,,,,,,,,,"01/30/2026  4:32:17 PM","equipment-warp",,,,"false","",,,,"FO-1383778094_20260130213137","7006559","New",,,"0",,,"Box-Pick",,,,,,"01/31/2026","","01/31/2026  7:00:00 PM","01/31/2026  4:32:17 PM",,,,,,,,,,,,"NB-ECOM","NB-RDC-ECOM",,,,,,"Ground","AccessoriesDirect","false","false","false","2025108-01-A","",,,,"88604368	","erpapp","",,,"false",,"false","true","NEW",,,"COM-PWG8XV5A9S-1",,"false",,,,,,"false","false","false",,,,"US",,
"01/30/2026  4:32:17 PM","1937037-55-C","false","EXTERNALWH",,"FLOOR MAT KIT","13228820	",,,,"88604369	",,"3694	","4081S3694-ECOM","4081S3694-ECOM",,"New",,,,,,,,,"",,"1",,,,,"0",,"EA","EA","88604369	","Jim  Sampson",,,"FO","","false","false","false",,,,,"equipment-warp",,,,"COM-WJMQP4QN34-1",,,,,,,,,,,,,,,,,,,,"01/30/2026  4:32:17 PM","equipment-warp",,,,"false","",,,,"FO-1705153461_20260130213137","7006557","New",,,"0",,,"Box-Pick",,,,,,"01/31/2026","","01/31/2026  7:00:00 PM","01/31/2026  4:32:17 PM",,,,,,,,,,,,"NB-ECOM","NB-RDC-ECOM",,,,,,"Ground","AccessoriesDirect","false","false","false","1937037-55-C","",,,,"88604369	","erpapp","",,,"false",,"false","true","NEW",,,"COM-WJMQP4QN34-1",,"false",,,,,,"false","false","false",,,,"US",,
"01/30/2026  4:32:17 PM","1989037-00-B","false","EXTERNALWH",,"Bed Cargo Divider 2.0","13228819	",,,,"88604364	",,"3694	","4081S3694-ECOM","4081S3694-ECOM",,"New",,,,,,,,,"",,"1",,,,,"0",,"EA","EA","88604364	","Randall  Kreutzer",,,"FO","","false","false","false",,,,,"equipment-warp",,,,"COM-B5KAHEVBJD-1",,,,,,,,,,,,,,,,,,,,"01/30/2026  4:32:17 PM","equipment-warp",,,,"false","",,,,"FO-1140105235_20260130213137","7006556","New",,,"0",,,"Box-Pick",,,,,,"01/31/2026","","01/31/2026  7:00:00 PM","01/31/2026  4:32:17 PM",,,,,,,,,,,,"NB-ECOM-FLOOR","NB-RDC-ECOM",,,,,,"Ground","AccessoriesDirect","false","false","false","1989037-00-B","",,,,"88604364	","erpapp","",,,"false",,"false","true","NEW",,,"COM-B5KAHEVBJD-1",,"false",,,,,,"false","false","false",,,,"US",,
